id,name,dept_id,salary,hire_date
46,Rubie Cars,7,87000,5/18/2025
47,Aidan Sarath,7,194000,12/14/2022
48,Alena Sollime,10,140000,11/13/2018
49,Audie Attenbrough,11,154000,4/17/2024
50,Norby Scranney,7,137000,4/14/2022
51,Kasey Beange,9,195000,1/29/2024
52,Cherida Bolger,1,138000,7/2/2021
53,Anjela Baudou,2,71000,5/26/2023
54,Griz Maryman,12,180000,2/19/2025
55,Ned Mattiassi,7,193000,9/20/2025
56,Filippa Fransman,4,77000,1/2/2020
57,Wilona Dransfield,1,160000,12/24/2019
58,Konrad Hillhouse,7,147000,2/8/2025
59,Sergent Curme,2,105000,8/27/2025
60,Carlota Vick,10,141000,9/18/2022
61,Ezri Pettendrich,8,78000,1/9/2022
62,Constancy Dunbobin,6,72000,5/21/2022
63,Francesco Schapero,2,194000,11/6/2022
64,Farand Butters,5,146000,11/28/2021
65,Agustin Bartoletti,9,156000,3/19/2025
66,Stevy Sturdy,3,106000,10/9/2024
67,Rubie Leasor,7,119000,9/26/2019
68,Marlena Newvill,1,153000,10/7/2025
69,Stanislaw Broadwood,8,121000,12/30/2024
70,Karalee Goney,4,104000,11/26/2022
71,Irv Quigley,11,192000,4/10/2018
72,Inger Chasteney,10,194000,6/28/2023
73,Cirillo Wasteney,5,166000,7/13/2019
74,Kris Gaskin,10,165000,10/10/2019
75,Lenna Baike,6,75000,2/28/2025
76,Rafi Tharme,8,164000,7/30/2022
77,Danit Corsor,6,178000,5/3/2021
78,Thorvald Lawful,10,112000,8/16/2025
79,Lucien Jauncey,9,192000,11/26/2025
80,Justina Leas,3,73000,3/21/2021
81,Blondie Slaymaker,7,192000,9/22/2024
82,Mari Maly,3,199000,4/17/2020
83,Vasily Maddern,9,125000,12/29/2022
84,Damita Tivers,12,178000,5/17/2023
85,Oates Bollins,1,91000,6/23/2020
86,Kerry Benard,9,145000,6/24/2024
87,Liza Bullivent,4,107000,4/28/2019
88,Mandie Woolf,10,70000,9/11/2025
89,Gwendolyn Craigie,8,111000,7/2/2023
90,Roosevelt Attenbrow,4,162000,5/10/2019
91,Wallie Eite,12,149000,9/8/2019
92,Rania Batson,4,115000,4/22/2025
93,Virgie Knyvett,10,117000,5/2/2023
94,Eimile Fedorski,1,162000,10/6/2019
95,Purcell Gurnett,5,165000,11/9/2023
96,Uri Dancer,4,176000,8/7/2024
97,Pattin Rodder,2,188000,12/21/2021
98,Lemuel Byer,5,149000,1/18/2019
99,Loise Edgington,1,167000,12/29/2019
100,Moira Kyrkeman,1,112000,9/26/2021
101,Lindsey Fenck,7,107000,6/24/2022
102,Dennie Sreenan,12,112000,9/4/2023
103,Laverne Pearl,9,109000,12/4/2021
104,Benedicta Coch,9,115000,5/25/2022
105,Elston Daysh,2,185000,10/10/2022
106,Griswold Joddins,5,86000,4/15/2024
107,Tammie Redhouse,3,200000,1/20/2024
108,Lilias Duferie,5,101000,10/20/2018
109,Marv Dorran,3,126000,4/21/2025
110,Hank Cristofol,12,196000,2/10/2025
111,Stanley Towndrow,11,127000,4/29/2021
112,Art Wrathall,9,130000,3/22/2018
113,Westbrooke West-Frimley,5,92000,7/3/2023
114,Catie Crossdale,1,136000,12/26/2018
115,Bryon Blade,1,84000,9/19/2023
116,Katharyn Lane,8,197000,3/16/2020
117,Frances Rubertelli,2,114000,6/4/2018
118,Evy Hendin,2,182000,4/26/2023
119,Fabe Lloyd,12,72000,4/27/2022
120,Lyn Saterthwait,1,78000,8/7/2021
121,Candis Eastham,4,187000,11/7/2022
122,Starlin Seagrove,2,193000,11/24/2023
123,Bamby Inglesant,1,183000,7/28/2024
124,Saraann Suddick,10,183000,8/17/2021
125,Care Iacomettii,12,133000,4/6/2023
126,Darlene Shitliff,2,93000,8/13/2019
127,Alexandra Cotherill,9,167000,12/9/2021
128,Xena Barrowclough,12,119000,9/13/2025
129,Janina Jose,4,99000,9/27/2021
130,Fairleigh Eagan,4,105000,12/11/2020
131,Burch Oneil,5,77000,9/15/2019
132,Ketty Hyde-Chambers,10,132000,10/19/2018
133,Modestine Roja,10,132000,10/18/2022
134,Ulrica Piaggia,6,158000,4/14/2021
135,Bail Izzatt,6,71000,6/22/2018
136,Mireielle Gerson,8,156000,3/28/2020
137,Udall Gridley,9,192000,1/7/2019
138,Melania Mish,5,175000,9/5/2025
139,Rosa Delacourt,2,117000,11/14/2022
140,Leroy Latta,10,104000,9/8/2019
141,Fonz Sussems,12,139000,5/7/2022
142,Chrissy Codd,8,159000,9/25/2025
143,Galvan Motte,10,150000,5/19/2023
144,Adoree Baldassi,4,188000,6/9/2019
145,Gary Hinsch,3,77000,12/28/2019
146,Eudora Bestiman,8,130000,9/11/2018
147,Bondon Archibould,5,130000,1/22/2022
148,Gayle Dyerson,8,191000,6/14/2020
149,Udell Pumfrey,9,146000,4/1/2020
150,Larisa Iron,12,162000,9/15/2024
151,Pennie Gladding,8,170000,5/25/2025
152,Eveline Byk,11,158000,4/19/2022
153,Tedra Roundtree,11,141000,3/18/2020
154,Uriah Dairton,9,78000,3/18/2024
155,Donia Hanner,9,76000,10/7/2025
156,Norma Livett,11,175000,4/10/2022
157,Mattie McGifford,4,156000,1/26/2025
158,Kermy D'Aguanno,7,184000,6/9/2020
159,Brigitte Langstrath,8,137000,9/28/2020
160,Lilla Wealthall,8,129000,8/4/2020
161,Aggie Priditt,11,186000,8/2/2021
162,Venus Brooking,7,87000,11/19/2018
163,Nikolia Mylchreest,3,79000,4/14/2025
164,Amandi Hradsky,11,95000,4/20/2023
165,Paxon Oldmeadow,2,155000,8/13/2024
166,Horatius Bartoszewicz,8,92000,4/10/2023
167,Tawnya Shah,5,113000,6/18/2022
168,Allissa Oldis,1,117000,1/24/2021
169,Alix Westbury,9,164000,5/23/2021
170,Joane Thompstone,5,132000,10/27/2022
171,Nataniel Mountlow,8,159000,5/10/2018
172,Duff Parrish,10,175000,11/30/2020
173,Felicity Avrahamof,11,81000,12/18/2019
174,Kendrick Fonzone,7,190000,7/17/2018
175,Bond Cribbins,8,85000,12/16/2024
176,Kitti Baigrie,7,140000,7/16/2025
177,Barrie Marnane,9,84000,11/10/2025
178,Colly Grabbam,12,167000,3/30/2021
179,Joann Yirrell,11,153000,12/18/2020
180,Lane Crain,12,93000,2/2/2022
181,Analiese Deboick,11,108000,4/22/2022
182,Dasi Waycot,6,129000,7/1/2024
183,Brinna Wrate,10,171000,3/26/2024
184,Shandee Franzolini,7,173000,1/21/2018
185,Bernete Koch,1,164000,4/6/2022
186,Mavis Murtagh,1,120000,4/26/2018
187,Donnajean Neising,10,109000,4/29/2022
188,Sharron Tipton,8,121000,6/23/2024
189,Janet Chesterman,12,75000,7/17/2018
190,Swen Scheffel,5,128000,7/25/2025
191,Hobey Riepel,1,131000,3/28/2024
192,Gardener Purvess,5,161000,4/29/2023
193,Sonya Alldritt,9,131000,7/25/2019
194,Kellia Abelov,9,195000,9/11/2025
195,Cirstoforo MacAscaidh,7,87000,9/14/2019
196,Allard Wandrich,12,184000,12/11/2021
197,Nathalia McGeachey,5,193000,1/2/2020
198,Hershel Fulun,12,132000,11/16/2019
199,Nicolai Eburne,9,163000,8/18/2024
200,Farr Frapwell,9,198000,6/5/2023
201,Hamnet Atty,7,97000,11/28/2020
202,Chance Dorward,7,97000,1/6/2022
203,Faun Connar,2,97000,2/26/2023
204,Frank Darker,7,174000,11/18/2022
205,Dall Harp,10,147000,4/6/2021
206,Maury Bunson,2,189000,11/29/2020
207,Mandie Edbrooke,4,106000,8/13/2021
208,Lorin Dytham,7,70000,11/23/2025
209,Fawn McIlroy,11,164000,3/8/2022
210,Valeria Jovic,7,96000,7/7/2018
211,Loraine Harry,5,170000,10/24/2020
212,Keane Alabone,9,176000,11/4/2018
213,Giffer Gretton,11,93000,12/1/2020
214,Helene Bradane,10,112000,1/6/2024
215,Elenore Skouling,12,78000,6/22/2024
216,Luke Treske,4,105000,11/17/2022
217,Charmion Muckleston,5,71000,7/3/2024
218,Nat Grelka,1,89000,7/6/2024
219,Ker Linebarger,7,196000,11/3/2018
220,Odo Abrahart,4,92000,8/14/2025
221,Joelie Aicheson,1,158000,4/10/2021
222,Deeanne Charke,8,171000,5/19/2018
223,Rasla Bockman,7,191000,5/5/2022
224,Zandra Lossman,9,120000,6/6/2021
225,Esta Key,10,135000,2/26/2025
226,Kial Gland,11,120000,12/28/2018
227,Sauncho Coke,6,136000,1/16/2024
228,Lenard Blucher,3,185000,1/21/2020
229,Wayland Ogilvy,11,180000,4/7/2019
230,Brandise Pringour,2,128000,5/19/2025
231,Hirsch Rickersy,1,130000,7/22/2021
232,Perice Horlick,9,75000,5/15/2022
233,Silvan Francescone,8,88000,10/26/2023
234,Rasla Dittson,8,174000,4/19/2023
235,Mariann Buzza,10,85000,4/15/2025
236,Adan MacAscaidh,10,130000,8/29/2025
237,Maridel Klasen,6,137000,11/17/2024
238,Bendix Parker,4,174000,1/3/2023
239,Witty Counsell,6,188000,6/3/2022
240,Vinny Baldacchi,3,199000,1/30/2021
241,Nancy Leason,4,147000,7/10/2024
242,Cris Steuhlmeyer,7,152000,3/25/2018
243,Ronald Isted,12,192000,4/17/2024
244,Monroe Bullocke,8,109000,6/23/2022
245,Helen-elizabeth Doig,6,120000,4/10/2025
246,Jonell Jagg,8,172000,8/2/2022
247,Orelie Pally,11,192000,1/30/2024
248,Roseanne Blackbourn,6,199000,12/3/2024
249,Evy D'Ambrosi,7,198000,12/8/2022
250,Ilaire Franzotto,10,89000,11/23/2020
251,Misti Annatt,2,96000,12/14/2022
252,Lavina Fannin,1,90000,8/4/2018
253,Drusie Isham,2,191000,11/18/2024
254,Quill Houndesome,6,155000,2/12/2019
255,Adeline Keast,2,171000,11/11/2025
256,Edmund Bohl,7,170000,8/14/2024
257,Johannes Gammett,8,143000,3/11/2023
258,Bette Allbon,2,172000,1/24/2023
259,Jobi Brierly,5,127000,1/31/2024
260,Vassili Silcock,4,103000,5/10/2020
261,Lovell Pennoni,4,78000,11/25/2022
262,Fran Float,11,183000,7/30/2024
263,Feliks Le Breton,2,155000,10/3/2023
264,Keven Grafhom,3,146000,4/25/2019
265,Kittie Pettiford,3,154000,9/20/2019
266,Clevie Cowgill,1,170000,7/6/2022
267,Mechelle Sokill,3,151000,4/12/2023
268,Estelle Peach,3,180000,11/25/2021
269,Terencio Van Castele,7,157000,6/3/2023
270,Llywellyn Linskey,9,172000,12/4/2018
271,Moss Gauford,12,167000,6/23/2022
272,Patrick Ollenbuttel,8,144000,12/23/2020
273,Araldo McKendo,6,181000,5/24/2020
274,Liz Twort,2,199000,1/28/2023
275,Adria Klauber,7,194000,8/18/2023
276,Timothea McGlone,1,163000,4/15/2024
277,Josefa Burlingame,12,121000,8/2/2021
278,Cam Groveham,1,163000,12/20/2023
279,Leroi Curmi,5,83000,5/17/2024
280,Kristian Garnsey,11,174000,9/19/2024
281,Ignacius Gerrels,6,88000,5/4/2018
282,Kaycee Fairman,12,140000,4/3/2024
283,Haydon Crowther,11,140000,6/15/2022
284,Brandtr Gittoes,3,110000,1/7/2020
285,Nessi Vanyard,10,72000,8/20/2024
286,Sydelle Vian,5,83000,3/4/2024
287,Zack Gammidge,9,116000,7/8/2021
288,Travers Leckie,7,158000,10/11/2023
289,Gennie Mapston,10,81000,6/24/2018
290,Payton Aveson,3,135000,6/7/2024
291,Chucho Motte,10,99000,3/8/2024
292,Kimmy Starmont,2,85000,2/16/2024
293,Sisile Everiss,9,182000,8/10/2019
294,Briana Vuitte,2,76000,10/17/2022
295,Tarrance Briant,4,150000,3/20/2025
296,Therine Shine,10,83000,5/22/2021
297,Ulrikaumeko Zecchini,5,110000,5/2/2018
298,Barnabas Bresland,3,176000,7/22/2024
299,Killian Burgise,2,152000,6/18/2022
300,Barnebas Yarnley,11,145000,3/7/2021
301,Efren Langthorn,11,178000,11/16/2021
302,Arnuad Norbury,5,151000,9/5/2019
303,Raquel Rittmeyer,6,200000,2/6/2023
304,Bjorn Willimott,6,76000,4/21/2025
305,Valera Mioni,3,176000,1/23/2025
306,Morten Gronaller,3,162000,12/13/2020
307,Oby Meakes,3,130000,1/2/2025
308,Mora Bernon,12,163000,5/10/2022
309,Karrie Costin,10,128000,4/30/2021
310,Jayne Petherick,8,119000,6/10/2022
311,Jason Buddles,5,148000,1/30/2022
312,Emmerich Gourdon,10,157000,2/21/2024
313,Selina Measures,4,115000,3/28/2024
314,Tabbie Corradetti,5,90000,9/18/2020
315,Juieta Pasque,12,89000,5/9/2021
316,Evelina Ipsly,3,88000,6/3/2018
317,Link Endrici,8,144000,3/13/2023
318,Kahlil Tatlow,7,75000,5/14/2021
319,Gregor Fenty,10,130000,10/28/2025
320,Stanleigh Patterson,4,171000,8/6/2021
321,Sonny Cuddon,7,141000,7/30/2024
322,Guglielma Boards,11,93000,7/9/2020
323,Christian Beckenham,7,90000,5/6/2021
324,Vonni Gustus,4,71000,1/21/2022
325,Janessa Noddings,10,168000,7/23/2025
326,Rollin Leyes,9,159000,9/25/2024
327,Angus Donaghy,12,91000,9/29/2023
328,Charla Winchcombe,4,173000,11/5/2023
329,Wendel Horsburgh,5,157000,2/12/2023
330,Bone Vampouille,11,84000,4/13/2020
331,Moshe Rickardes,12,118000,11/21/2018
332,Shelia Fransson,2,125000,3/14/2021
333,Baird Delacroux,12,98000,11/12/2018
334,Georgie Huot,1,120000,12/23/2023
335,Batholomew oldey,10,128000,10/11/2022
336,Garrot Pinchen,11,163000,1/3/2018
337,Ernest Stolze,6,145000,9/22/2025
338,Scottie Tuson,10,148000,9/14/2024
339,Dalenna Dickinson,1,92000,1/12/2020
340,Hyatt Lamers,10,93000,9/9/2023
341,Alysia Estable,3,70000,12/29/2020
342,Bartram D'Agostino,6,174000,7/2/2022
343,Derk Bampfield,5,71000,4/6/2023
344,Danny Phare,6,192000,11/27/2018
345,Noble Boswood,1,177000,8/17/2023
346,Kinnie Belshaw,11,149000,9/5/2020
347,Gertie Fabbri,4,93000,7/9/2019
348,Hestia Joint,12,174000,8/7/2018
349,Valry Aldins,4,144000,2/7/2019
350,Quent Chaddock,5,100000,1/23/2024
351,Evy Rubinovitsch,3,143000,8/22/2023
352,Lori Pelzer,7,104000,9/3/2018
353,Batholomew Elks,5,138000,7/5/2022
354,Sharity Stebbing,5,156000,11/10/2025
355,Alexia Rechert,10,165000,5/26/2023
356,Steffen Plumbley,3,146000,1/26/2018
357,Freedman Tebbutt,8,129000,11/1/2019
358,Keefer Simmen,2,170000,6/14/2023
359,Bell Adcock,3,142000,4/11/2020
360,Joleen Wiggington,1,166000,1/10/2024
361,Franky Larne,1,137000,3/5/2019
362,Kristo Cadge,5,190000,2/29/2024
363,Winna Langwade,8,175000,2/28/2024
364,Carolyne Collingworth,8,191000,6/3/2018
365,Lauren Chatelot,2,88000,4/14/2022
366,Channa Grent,5,133000,9/15/2020
367,Hildy Bole,6,191000,4/11/2018
368,Nicki Medd,6,144000,10/20/2018
369,Lenna Bellwood,8,153000,5/20/2020
370,Josias Blackater,5,78000,1/9/2025
371,Dulciana Greathead,11,175000,4/14/2024
372,Aube Brettell,8,165000,7/22/2021
373,Merla Cornilleau,9,112000,8/8/2024
374,Paquito Pilpovic,12,103000,11/4/2023
375,Timothea Battell,12,132000,4/12/2019
376,Virgie Banbury,7,183000,3/5/2018
377,Roberta Marcos,2,191000,6/1/2024
378,Carmina Houdhury,4,168000,10/3/2019
379,Erina Toye,7,197000,6/18/2019
380,Durant Vance,8,121000,8/20/2021
381,Correy McKune,3,89000,2/13/2020
382,Clim O'Halloran,11,82000,10/27/2025
383,Haleigh Loncaster,2,165000,10/17/2024
384,Costa Stayte,4,130000,6/3/2025
385,Allys Mathelin,7,195000,2/2/2021
386,Indira Mebs,1,182000,7/11/2023
387,Hakim De Ambrosi,11,199000,10/31/2024
388,Gweneth Cuddy,10,161000,7/31/2025
389,Mason Selby,5,136000,6/21/2018
390,Creigh Casterot,10,96000,3/17/2023
391,Marget Faithfull,3,80000,7/21/2019
392,Daryl Cunnington,8,137000,12/8/2020
393,Sybyl Smithson,4,183000,12/3/2021
394,David Hollier,7,195000,11/1/2020
395,Tatiana Gundrey,12,142000,5/7/2023
396,Gordon Welton,8,88000,12/15/2018
397,Howard Jendas,12,70000,10/14/2018
398,Berty Lushey,6,90000,12/24/2023
399,Delia Cliff,10,136000,10/6/2023
400,Lorinda Bourthouloume,2,194000,3/24/2020
401,Cicily Whitticks,5,90000,12/12/2021
402,Oran Collingham,6,156000,5/18/2020
403,Oren Laughrey,9,111000,10/5/2021
404,Rich Kinforth,11,91000,9/25/2021
405,Lira Fydoe,7,197000,12/10/2020
406,Leonhard Killshaw,10,124000,3/12/2019
407,James Croux,6,76000,6/3/2021
408,Brigg Harral,5,146000,5/8/2025
409,Gerik Primmer,8,103000,2/22/2020
410,Floria Sellan,1,104000,9/2/2020
411,Alexa Larose,11,138000,5/23/2025
412,Holly-anne Assender,3,198000,8/12/2023
413,Sidoney Lauridsen,10,199000,7/21/2020
414,Ceciley Carlin,2,181000,2/28/2019
415,Gearard Oty,8,155000,9/12/2020
416,Kelcy Coursor,1,133000,5/10/2019
417,Wilona De Freitas,8,187000,8/24/2019
418,Mort Searl,4,82000,7/22/2024
419,Zorah Mewett,12,159000,3/15/2024
420,Ingelbert Dukelow,2,163000,4/3/2020
421,Thadeus Savoury,1,81000,1/30/2022
422,Kelbee Krzyzanowski,8,166000,1/9/2024
423,Vanna Brownhill,6,82000,1/18/2024
424,Delila Ors,7,166000,3/14/2018
425,Florida Jakov,7,109000,9/10/2024
426,Nonah Pitrelli,9,171000,4/2/2018
427,Panchito Buckam,10,98000,1/1/2019
428,Torrin Gilliatt,3,72000,9/19/2019
429,Hamnet Tollett,11,141000,3/4/2018
430,Emalia Sterricker,2,99000,1/4/2020
431,Sonia Cardon,11,96000,7/16/2020
432,Zaccaria Ziemke,3,193000,5/16/2020
433,Charis Wayt,9,177000,6/21/2022
434,Viviene O'Leagham,10,102000,3/24/2024
435,Homer Ipsgrave,1,152000,7/7/2022
436,Brannon Donnachie,1,115000,10/11/2022
437,Fayth Rubenovic,1,176000,9/19/2019
438,Mavra Cahillane,9,192000,7/5/2021
439,Torrin Angerstein,4,158000,7/26/2019
440,Cello Lammin,9,189000,2/11/2022
441,Mead Stolberg,8,181000,2/9/2025
442,Gearalt Jeavon,4,134000,10/13/2023
443,Alena Andrei,1,177000,8/6/2025
444,Berkeley Cadding,3,150000,6/26/2018
445,Freddie Challenor,11,91000,9/3/2024
446,Parnell Midden,4,120000,3/14/2018
447,Veda Arrow,5,132000,9/27/2025
448,Jedd Nuccitelli,2,177000,10/7/2025
449,Coraline Troker,11,130000,3/21/2024
450,Charlot Kegley,3,75000,1/15/2024
451,Lotti Adamovich,4,120000,5/12/2022
452,Sergeant Ricoald,6,136000,9/19/2024
453,Abby Banyard,8,156000,10/1/2020
454,Preston Querrard,3,103000,11/22/2019
455,Osbert Rousby,5,145000,10/8/2019
456,Enid Kineton,5,101000,11/7/2020
457,Aubine Lightwing,3,94000,4/18/2019
458,Jabez Surgood,11,74000,4/29/2024
459,Phebe Elbourne,4,182000,10/24/2018
460,Norry Laxston,3,171000,5/5/2021
461,Lorrie Chopping,12,175000,4/30/2018
462,Sterling Lackington,7,75000,6/21/2018
463,Avivah Paulino,1,153000,2/1/2022
464,Kalindi Salisbury,5,182000,3/10/2024
465,Alysa Lawles,4,169000,12/1/2019
466,Cecilio Lobbe,1,178000,6/28/2018
467,Gwendolyn Keyser,4,173000,3/25/2024
468,Dahlia Slimming,3,185000,3/25/2024
469,Peder Simonich,12,177000,11/20/2025
470,Rafaelia McLese,5,152000,11/11/2024
471,Ruy Reven,1,159000,2/4/2019
472,Darren Glidder,2,156000,10/15/2024
473,Elli Robers,4,165000,10/19/2022
474,Orv Delamaine,10,172000,3/5/2022
475,Matthaeus McNeill,3,90000,5/6/2025
476,Jenilee Wynrahame,5,122000,4/11/2021
477,Fabe Saul,5,79000,9/16/2023
478,Lucita Briers,8,72000,10/31/2018
479,Manya Allaway,11,76000,4/23/2021
480,Cinderella Waterstone,2,112000,4/20/2019
481,Obadias Greenshiels,5,72000,8/27/2021
482,Maryanne Dominicacci,3,87000,3/13/2022
483,Emmie Rankcom,4,155000,2/15/2024
484,Marcelo Gauvain,10,100000,6/1/2024
485,Wally Cullen,2,180000,2/3/2020
486,Britte Glasper,4,167000,1/20/2023
487,Sebastian Astupenas,3,120000,2/7/2020
488,Margaux Tyzack,2,102000,12/5/2022
489,Rodi Duesbury,4,135000,1/24/2022
490,Nefen Kirckman,4,77000,9/23/2019
491,Pate Larmor,7,86000,10/28/2021
492,Poul Southern,5,81000,7/17/2018
493,Adah Keelinge,11,125000,5/8/2022
494,Saunders Carrodus,8,93000,2/16/2024
495,Teddy Armal,8,199000,11/29/2021
496,Kristine Buffey,1,111000,1/22/2022
497,Nikki Denial,11,183000,12/2/2021
498,Porter Lisimore,7,188000,8/20/2018
499,Sly Arthy,10,129000,9/27/2023
500,Ethan Emm,2,75000,6/9/2025
